DATE,IPG2211A2N,,,ERROR,,,,,,,,0
10-01-1987,60.3789,65.39784878,88.84721763,25.18984687,,,,,,,,
11-01-1987,62.4643,64.39405902,88.84721763,3.723969893,,,,,,,,
12-01-1987,70.5777,64.00810722,88.84721763,43.1595493,,,,,,,,
01-01-1988,79.8703,65.32202578,88.84721763,211.6522829,,,,,,,,
02-01-1988,76.1622,68.23168062,88.84721763,62.89313763,,,,,,,,
03-01-1988,70.2928,69.8177845,88.84721763,0.225639729,,,,,,,,
04-01-1988,63.2384,69.9127876,88.84721763,44.5474498,,,,,,,,
05-01-1988,61.4065,68.57791008,88.84721763,51.4291225,,,,,,,,
06-01-1988,67.1097,67.14362806,88.84721763,0.001151113,,,,,,,,
07-01-1988,72.9816,67.13684245,88.84721763,34.16119082,,,,,,,,
08-01-1988,75.7655,68.30579396,88.84721763,55.64721421,,,,,,,,
09-01-1988,67.5152,69.79773517,88.84721763,5.209966792,,,,,,,,
10-01-1988,63.2832,69.34122813,88.84721763,36.69970488,,,,,,,,
11-01-1988,65.1078,68.12962251,88.84721763,9.131411266,,,,,,,,
12-01-1988,73.8631,67.52525801,88.84721763,40.16824114,,,,,,,,
01-01-1989,77.9188,68.7928264,88.84721763,83.28339406,,,,,,,,
02-01-1989,76.6822,70.61802112,88.84721763,36.77426544,,,,,,,,
03-01-1989,73.3523,71.8308569,88.84721763,2.314789109,,,,,,,,
04-01-1989,65.1081,72.13514552,88.84721763,49.37936873,,,,,,,,
05-01-1989,63.6892,70.72973642,88.84721763,49.56915302,,,,,,,,
06-01-1989,68.4722,69.32162913,88.84721763,0.721529851,,,,,,,,
07-01-1989,74.0301,69.15174331,88.84721763,23.79836404,,,,,,,,
08-01-1989,75.0448,70.12741464,88.84721763,24.18067873,,,,,,,,
09-01-1989,69.3053,71.11089172,88.84721763,3.260161444,,,,,,,,
10-01-1989,65.8735,70.74977337,88.84721763,23.778042,,,,,,,,
11-01-1989,69.0706,69.7745187,88.84721763,0.495501533,,,,,,,,
12-01-1989,84.1949,69.63373496,88.84721763,212.0275274,,,,,,,,
01-01-1990,84.3598,72.54596797,88.84721763,139.5666273,,,,,,,,
02-01-1990,77.1726,74.90873437,88.84721763,5.125087575,,,,,,,,
03-01-1990,73.1964,75.3615075,88.84721763,4.687690481,,,,,,,,
04-01-1990,67.2781,74.928486,88.84721763,58.52840593,,,,,,,,
05-01-1990,65.8218,73.3984088,88.84721763,57.4050009,,,,,,,,
06-01-1990,71.4654,71.88308704,88.84721763,0.174462463,,,,,,,,
07-01-1990,76.614,71.79954963,88.84721763,23.17893235,,,,,,,,
08-01-1990,77.1052,72.76243971,88.84721763,18.85956698,,,,,,,,
09-01-1990,73.061,73.63099176,88.84721763,0.324890611,,,,,,,,
10-01-1990,67.4365,73.51699341,88.84721763,36.97240013,,,,,,,,
11-01-1990,68.5665,72.30089473,88.84721763,13.94570399,,,,,,,,
12-01-1990,77.6839,71.55401578,88.84721763,37.57548051,,,,,,,,
01-01-1991,86.0214,72.77999263,88.84721763,175.3348692,,,,,,,,
02-01-1991,77.5573,75.4282741,88.84721763,4.532751277,,,,,,,,
03-01-1991,73.365,75.85407928,88.84721763,6.195515667,,,,,,,,
04-01-1991,67.15,75.35626342,88.84721763,67.3427594,,,,,,,,
05-01-1991,68.8162,73.71501074,88.84721763,23.99834666,,,,,,,,
06-01-1991,74.8448,72.73524859,88.84721763,4.450207143,,,,,,,,
07-01-1991,80.0928,73.15715887,88.84721763,48.10311784,,,,,,,,
08-01-1991,79.1606,74.5442871,88.84721763,21.3103448,,,,,,,,
09-01-1991,73.5743,75.46754968,88.84721763,3.584394347,,,,,,,,
10-01-1991,68.7538,75.08889974,88.84721763,40.13348876,,,,,,,,
11-01-1991,72.5166,73.82187979,88.84721763,1.703755342,,,,,,,,
12-01-1991,79.4894,73.56082384,88.84721763,35.14801534,,,,,,,,
01-01-1992,85.2855,74.74653907,88.84721763,111.0696975,,,,,,,,
02-01-1992,80.1643,76.85433125,88.84721763,10.95589309,,,,,,,,
03-01-1992,74.5275,77.516325,88.84721763,8.933074904,,,,,,,,
04-01-1992,69.6441,76.91856,88.84721763,52.91776834,,,,,,,,
05-01-1992,67.1784,75.463668,88.84721763,68.64566587,,,,,,,,
06-01-1992,71.2078,73.8066144,88.84721763,6.753836296,,,,,,,,
07-01-1992,77.5081,73.28685152,88.84721763,17.81893872,,,,,,,,
08-01-1992,76.5374,74.13110122,88.84721763,5.790273832,,,,,,,,
09-01-1992,72.3541,74.61236097,88.84721763,5.099742626,,,,,,,,
10-01-1992,69.0286,74.16070878,88.84721763,26.33854052,,,,,,,,
11-01-1992,73.4992,73.13428702,88.84721763,0.133161481,,,,,,,,
12-01-1992,84.5159,73.20726962,88.84721763,127.8851211,,,,,,,,
01-01-1993,87.9464,75.46899569,88.84721763,155.6856182,,,,,,,,
